Company,Company_url,Market_Price,Close_Price,Market_capital,ROE in %,P_E,Dividend in %
DLF,https://groww.in/stocks/dlf-ltd,844.9,885.0,219027.0,6.92,76.61,0.59
Siemens,https://groww.in/stocks/siemens-ltd,7121.2,5440.85,193907.0,16.78,116.5,0.13
Bharat Electronics,https://groww.in/stocks/bharat-electronics-ltd,313.55,234.45,171341.0,24.41,60.78,0.88
ABB India,https://groww.in/stocks/abb-india-ltd,7893.15,6561.05,139010.0,20.89,119.8,0.29
Havells India,https://groww.in/stocks/havells-india-ltd,1862.65,1501.6,93980.0,17.06,92.48,0.48
Cummins India,https://groww.in/stocks/cummins-india-ltd,3796.85,3042.6,84338.0,26.02,62.34,0.98
CG Power & Inds,https://groww.in/stocks/cg-power-industrial-solutions-ltd,689.3,494.7,75511.0,28.31,77.84,0.18
Godrej Properties,https://groww.in/stocks/godrej-properties-ltd,3362.65,2652.3,73636.0,7.26,129.67,0.0
Suzlon Energy,https://groww.in/stocks/suzlon-energy-ltd,55.39,43.85,59069.0,16.84,114.02,0.0
Thermax,https://groww.in/stocks/thermax-ltd,4962.35,4709.05,56287.0,14.53,94.24,0.24
